time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,xdes_x,xdes_y,xdes_z,roll,pitch,yaw
26.097,1.197322383865225,2.251660735389228,3.424207412433953,-0.028277468465551677,-0.002389880581531984,-0.06470982470378067,1.1160402,2.3064818,3.3875434,-2.510266368549452e-06,0.0007864133114408034,0.002827929954167363
26.108,1.1970400491386715,2.251635313183169,3.423561368360155,-0.028196962965465897,-0.002666207471564172,-0.064507539125534,1.1167934,2.3052697,3.386603,-2.4503146853760427e-06,0.0008244245234667602,0.0027756623793879776
26.119,1.196730434061684,2.2516041871953294,3.422853553954484,-0.028049628993364932,-0.003141101714041673,-0.06421674570033746,1.1171781,2.3060458,3.3855588,-2.3937335611456945e-06,0.0008639984006624246,0.0027317257813961326
26.127,1.196477887100174,2.251576293830189,3.4222771550372593,-0.0280254304854921,-0.0032063266238982293,-0.06392028753322396,1.1177491,2.306217,3.3839715,-2.3665254733629126e-06,0.0008950737041892864,0.002717043080675108
26.137,1.1961702076468872,2.251539263576771,3.421575999361269,-0.02786523771233903,-0.0036725899699031057,-0.06360992579578226,1.1180747,2.3066423,3.383524,-2.3505557842362634e-06,0.0009383020558573207,0.0027182925271587166
26.147,1.195919315408125,2.2515065643407586,3.421005009515618,-0.027838174631393514,-0.00374019611037984,-0.0633197947903307,1.1167941,2.306221,3.383126,-2.3444332022393155e-06,0.0009879092196234396,0.0027285220349706485
26.157,1.1956414840767917,2.2514676885089786,3.420373580206918,-0.027737293920981333,-0.0040082539923904335,-0.06299789633169288,1.1145098,2.3065503,3.3826969,-2.3313891581722146e-06,0.0010439295415531902,0.0027305996138982103
26.169,1.1953646920187262,2.251426132002408,3.419745398731339,-0.02763080796854067,-0.004276099723452017,-0.06266274231612219,1.1136284,2.3075633,3.3812509,-2.288170659614508e-06,0.0011134146931848221,0.0027074944539959844
26.177,1.195088996352407,2.2513819068253684,3.419120857036492,-0.02751865278451598,-0.004541798129146686,-0.062282114128915295,1.1123857,2.3092,3.3799655,-2.2350729880216136e-06,0.0011545733555520243,0.00267192179321718
26.188,1.1948144497787265,2.2513350492543625,3.418500043022574,-0.027401662721433923,-0.004802570053243705,-0.061922243238568146,1.1107526,2.3093214,3.3792908,-2.1178591795845136e-06,0.0011975175472178634,0.0025882759758517615
26.198,1.1945410934559535,2.25128562696752,3.4178826149825583,-0.02728121289786362,-0.005054906855099279,-0.061604971984371926,1.1101924,2.3092754,3.3773737,-1.951953997547662e-06,0.0012188852610774958,0.002465773319768605
26.208,1.1942418059523063,2.2512284310510955,3.417206726583721,-0.02707177815829099,-0.005460572797253778,-0.061340222395077644,1.1093534,2.3092966,3.377485,-1.7290011298243257e-06,0.001221814221498363,0.0022972308741548986
26.219,1.1939980352983623,2.2511795670121546,3.416655908056507,-0.027036826311586982,-0.005516583582750829,-0.06110668777124171,1.1077199,2.3083162,3.3775935,-1.4396196026389418e-06,0.0012057606845927715,0.0020718804504356036
26.23,1.1937014281473257,2.2511175352427415,3.4159854310447773,-0.026832026855282264,-0.005854187915067731,-0.0608367563182626,1.1078709,2.3088636,3.377097,-1.1398032699894145e-06,0.001174490606766554,0.001828851251227448
26.239,1.193459821812153,2.251065077265774,3.415439511585559,-0.026798265271271042,-0.005898970440325255,-0.06052654171742635,1.1072628,2.3092146,3.3766654,-9.153713618204051e-07,0.0011402134490765548,0.0016387230916312667
26.247,1.193192470554726,2.2510051929276047,3.4148360091599343,-0.02668408695547472,-0.006058671587757579,-0.06021046364986625,1.1070744,2.3087494,3.3771935,-7.421787171502103e-07,0.0011054198760618306,0.001485571624952442
26.257,1.1929262373989442,2.2509438154559036,3.414235492723495,-0.026574273363135656,-0.006199844882944654,-0.05992419433264673,1.1071213,2.3086684,3.375247,-5.582690971728255e-07,0.0010591144318770063,0.001315040960595315
26.268,1.1926346184365793,2.2508747809843936,3.4135781761357893,-0.026398127365180445,-0.006406748656429727,-0.05963961143636515,1.10812,2.3081477,3.375316,-3.90871573330287e-07,0.0010080453692555835,0.0011511712012546305
26.277,1.1923705854978188,2.2508108048704574,3.412983365155249,-0.026358554509462916,-0.006445673257333929,-0.05936728326298999,1.1080469,2.3070967,3.3745217,-2.748353633563738e-07,0.0009685994076971127,0.0010321320321939886
26.287,1.1921337940546093,2.2507523489843093,3.4124502337023506,-0.026271913474826793,-0.0065332074648970775,-0.0591329973086584,1.1094722,2.3066769,3.3738792,-1.6387460544109445e-07,0.0009305149041534122,0.000914215263770668
26.297,1.1918454186132041,2.2506799035142304,3.4118014051466146,-0.02616988274995714,-0.0066280476155902365,-0.058862109131344216,1.1064938,2.3071709,3.3749528,-7.296811199708486e-08,0.0009008947002140388,0.0008154658241878998
26.307,1.1916102964825959,2.25061989924617,3.4112727556762583,-0.026088764982928076,-0.00669746539482685,-0.05863278895944923,1.1052471,2.3072472,3.3746884,-2.1001804739739782e-09,0.0008814582043159547,0.000738573520427277
26.318,1.1913239057535603,2.25054575703136,3.4106300093014976,-0.02594080322424306,-0.0068144932865570555,-0.05826406318238921,1.1055114,2.3070753,3.373924,6.043776501485354e-08,0.0008655912013684208,0.0006722290736105307
26.328,1.1910903760667158,2.2504844913795963,3.410107650304096,-0.025913012421063183,-0.006832732149896924,-0.05787426944356048,1.1043165,2.306299,3.3733928,1.1217379913830428e-07,0.0008471814516530785,0.0006179771985719285
26.337,1.1908317165462556,2.250415832939296,3.4095310565314345,-0.025827798948865596,-0.006892128301983709,-0.05748893801536461,1.1046106,2.3051524,3.3714898,1.5847128764789886e-07,0.0008237929296206481,0.0005685629431568806
26.348,1.1905738946515991,2.2503466103371763,3.4089581638237663,-0.025745357126526733,-0.006946101998811129,-0.05712842524293088,1.1021799,2.3049755,3.3716743,2.125575715439254e-07,0.0007847580553050904,0.0005099369604164572
26.357,1.1903168776188258,2.2502768766183476,3.4083887619979194,-0.025666603286028728,-0.006994993326177329,-0.056789325782038054,1.1022313,2.3061652,3.371008,2.48907479516447e-07,0.0007452263070808485,0.00047201096932303344
26.367,1.1900606240111695,2.2502066762840305,3.4078226424152285,-0.025592354135129575,-0.007040080318871754,-0.056468695055014693,1.1014345,2.3053648,3.3699956,2.768066948988235e-07,0.0006931909189802354,0.0004463710145565791
26.377,1.189805084271658,2.2501360383142677,3.407259728399351,-0.025523434438555818,-0.007082951061724633,-0.05615059271980438,1.1018612,2.3052304,3.3693304,2.973112467330452e-07,0.0006331295692341143,0.00043111975279463977
26.387,1.1895502007414973,2.2500649797495,3.4066998132793467,-0.02546061101439104,-0.007124420036684788,-0.05586338888061302,1.1013204,2.3050256,3.366521,3.1515574860918605e-07,0.0005668614487470691,0.0004197161742229838
26.397,1.1892959093906519,2.24999351266365,3.406142714562561,-0.025404399123658203,-0.007164781016679903,-0.05559235806939732,1.1001419,2.3032234,3.3649602,3.3230949902929297e-07,0.0004979417607495762,0.00040868518725156733
26.408,1.1890421426943472,2.249921648164691,3.4055879658311965,-0.025355002899501166,-0.00720400199796302,-0.055385117384339405,1.1005086,2.3040438,3.3657296,3.5021032829263277e-07,0.0004221035904503623,0.00039677419616568343
26.42,1.1887635241011352,2.2498421510588273,3.4049798510915505,-0.025308504652361584,-0.007246096721695431,-0.0552075276335021,1.0998904,2.3053114,3.3629873,3.636817655916502e-07,0.00033991764344243336,0.0003973138454940184
