time,q1,q2,q3,q4,q5,q6,q7,ee_pos_x,ee_pos_y,ee_pos_z,ee_vel_0,ee_vel_1,ee_vel_2,ee_rpy_roll,ee_rpy_pitch,ee_rpy_yaw,ee_target_pos_x,ee_target_pos_y,ee_target_pos_z,ee_target_quat_x,ee_target_quat_y,ee_target_quat_z,ee_target_quat_w,stage_cost,terminal_cost,joint_limit_cost
11.409,1.1144564790371918,2.777555070623138,0.420943312380059,5.074079923701084,-0.09272260510308783,3.8295132045920353,-0.07686936378603271,0.1084964456542478,0.3763645732755959,1.6358165223707173,0.0002512844912216901,0.0047457955877175185,-0.0007593745937506592,-1.5735053832382586,-0.0009837564916903574,1.569895473822425,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,51.325775146484375,1.2311047315597534,0.0
11.418,1.1137206810739473,2.777710527226078,0.4218333571974595,5.0740311802544165,-0.09246938762443868,3.8291864010989096,-0.07718642936946019,0.10841618042511289,0.37628936234429544,1.635711330316074,-0.00048436102249783735,0.004440065277614617,-0.0012483144451264484,-1.5734545430888391,-0.0010530668417256805,1.5699014281876815,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,50.71809387207031,1.2030962705612183,0.0
11.428,1.1129937081200003,2.777815791519319,0.4227712091899667,5.073952848536433,-0.09222523688606721,3.828826893741476,-0.0775394771935165,0.10831625477257116,0.37621966246429644,1.635608182077307,-0.0019606131408942845,0.004088902816751712,-0.001599679389346151,-1.5734029596640378,-0.0010816767183507991,1.5699244040449336,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,50.50046920776367,1.201326847076416,0.0
11.438,1.1123147994781197,2.7778521390147644,0.4236907752664676,5.073853339615607,-0.09200974102040771,3.828474082980109,-0.07793382361805712,0.10820435204250958,0.3761639585037574,1.6355266781503788,-0.002224919636690178,0.0040317607102765655,-0.0014443000519674903,-1.5733841913731133,-0.0010541593406658833,1.5699836713641993,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,49.596702575683594,1.1405755281448364,0.0
11.448,1.1115922007507058,2.777841129826144,0.42464708102336957,5.073746270009512,-0.09181678068627974,3.8281610228645446,-0.07835046817070612,0.10809193077225378,0.37612040438464645,1.6354585625515365,-0.0015081100816951567,0.004406377795606661,-0.0007563844741697824,-1.5733943344543413,-0.0010030753267837866,1.5700464162828396,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,49.01946258544922,1.107191801071167,0.0
11.458,1.1108242677278275,2.777821554092239,0.4256337704787292,5.073648013777183,-0.09163685783725217,3.8279007449510116,-0.07874404302643967,0.1079906598558807,0.37608405372855014,1.6354002847572897,0.00031819068755643777,0.0041578120768750336,-0.0008416928752297457,-1.5733842492697943,-0.0009641312160515447,1.5700872540400734,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,49.09783172607422,1.1201536655426025,0.0
11.468,1.1100738899841316,2.7777857108134425,0.4266101062773,5.0735458584834925,-0.09142695055659988,3.8276933087280094,-0.07915147937765177,0.10788945240775008,0.3760539306676238,1.6353457599837766,0.00031201266681197035,0.004146678774215008,-0.0007124084981620784,-1.5733541589412325,-0.0009301075579744023,1.570095218443231,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,48.63425827026367,1.0911387205123901,0.0
11.478,1.10934770324591,2.777687871275364,0.4275584410130593,5.07343072972269,-0.09118828151816771,3.827535151081574,-0.07958345973324477,0.10779342452318637,0.3760374535609686,1.635302952790657,-1.6568333163965154e-05,0.0042040966632296405,-0.0005459775023682756,-1.5733121222176252,-0.000924717965917754,1.5700871519563828,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,47.74964141845703,1.01321542263031,0.0
11.489,1.108543287835034,2.777527897728503,0.4285883048264969,5.0733009258403845,-0.0909316496968664,3.8273832887658736,-0.08005035082094736,0.1076961172991083,0.3760303091081039,1.6352739472574351,0.00040223146214089854,0.004335574618989347,-0.0002756521346209982,-1.5732418859456287,-0.0009321228539675985,1.5700946687445467,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,47.380409240722656,0.9914342164993286,0.0
11.498,1.1078700566129465,2.7773698426096383,0.42943828899147984,5.073181914947141,-0.09069187344949814,3.827261747198583,-0.08046997219892482,0.10762542285614372,0.3760331124080989,1.6352576483959727,0.0008313037687512865,0.00429907018507702,-0.0002691204068701496,-1.5731777191465786,-0.0009595734708804926,1.570120043839673,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,46.99172592163086,0.9757516384124756,0.0
11.508,1.107136895692535,2.777184831143006,0.43037475763809496,5.0730408338866875,-0.09039102074992744,3.827139901985759,-0.08097788202331557,0.10755203073958756,0.3760462156829186,1.635242763218183,0.002033642580272749,0.003942252511460433,-0.000508738664710575,-1.5731164118071304,-0.0010193883743863097,1.5701499455701884,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,46.61588668823242,0.9710710644721985,0.0
11.518,1.1064423261928686,2.776994819012688,0.43129498600926386,5.072880726232868,-0.09010253281576386,3.8270150597489083,-0.08146777941053962,0.10747561444966268,0.3760675092841875,1.6352265229101657,0.002228097560696541,0.0035260867471118783,-0.0008639876381174773,-1.5730586802850697,-0.0010717984578736406,1.5701765877012803,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,46.19529342651367,0.9347854256629944,0.0
11.528,1.10578938976714,2.776772219845623,0.43221200333599796,5.07268651300505,-0.0898173005797327,3.826877958122144,-0.08195419597326925,0.1073898059363836,0.3761026295735622,1.6352107411856838,0.001888304608525408,0.003268682449447197,-0.0009930153432646711,-1.5729813780084316,-0.0010849953073805985,1.5702047617773807,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,45.67142868041992,0.8950132727622986,0.0
11.538,1.1051365902027053,2.776504837043661,0.43315213664723995,5.072473418503798,-0.08950227822218793,3.8267292789365532,-0.08249889734168114,0.10729769376447232,0.3761492904653361,1.6352017720745642,0.0013373614452602566,0.00343890916054537,-0.0006381061082194674,-1.5729021353270791,-0.0010824767254407064,1.5702497684536534,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,45.07235336303711,0.8631564378738403,0.0
11.548,1.104452901059184,2.7761956948346116,0.4341160211559716,5.0722437608639686,-0.08919262637583536,3.8265567822352056,-0.08308076123992514,0.10720194157088214,0.3762110362316834,1.63520447400992,0.0011396849422828593,0.0036430445747307623,-0.00032227579513867004,-1.5728343377562757,-0.0010868578573113297,1.5703410823701447,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,44.7056770324707,0.8530154824256897,0.0
